n,p,gamma,df,rho,snr,rep,center_X,standardize_X,beta_sparsity,beta_scale,seed,sigma2,empirical_snr,method,mse
200,40,0.2,1.0,0.0,5.0,26,True,True,,1.0,249995455,1694.3418272694603,4.999999999999998,OLS,10.850923390681132
200,40,0.2,1.0,0.0,5.0,26,True,True,,1.0,249995455,1694.3418272694603,4.999999999999998,LAD,0.17069832528406276
200,40,0.2,1.0,0.0,5.0,26,True,True,,1.0,249995455,1694.3418272694603,4.999999999999998,Huber,0.10059508526476937
200,40,0.2,1.0,0.0,5.0,27,True,True,,1.0,837907451,1651.159845855563,5.0,OLS,7.010555741778184
200,40,0.2,1.0,0.0,5.0,27,True,True,,1.0,837907451,1651.159845855563,5.0,LAD,0.9603959759560429
200,40,0.2,1.0,0.0,5.0,27,True,True,,1.0,837907451,1651.159845855563,5.0,Huber,0.7849107493218904
200,40,0.2,1.0,0.0,5.0,28,True,True,,1.0,1073191830,1508.2308500605031,4.999999999999997,OLS,12.043069945115544
200,40,0.2,1.0,0.0,5.0,28,True,True,,1.0,1073191830,1508.2308500605031,4.999999999999997,LAD,0.4106784086148652
200,40,0.2,1.0,0.0,5.0,28,True,True,,1.0,1073191830,1508.2308500605031,4.999999999999997,Huber,0.3113739881769212
200,40,0.2,1.0,0.0,5.0,29,True,True,,1.0,761689872,1198.9401107321523,5.000000000000001,OLS,6.8173119843887635
200,40,0.2,1.0,0.0,5.0,29,True,True,,1.0,761689872,1198.9401107321523,5.000000000000001,LAD,0.10700658846682756
200,40,0.2,1.0,0.0,5.0,29,True,True,,1.0,761689872,1198.9401107321523,5.000000000000001,Huber,0.0077032970403718565
200,40,0.2,1.0,0.0,10.0,0,True,True,,1.0,1561501211,642.6674869052256,10.0,OLS,3.6169560191538808
200,40,0.2,1.0,0.0,10.0,0,True,True,,1.0,1561501211,642.6674869052256,10.0,LAD,0.3112090308760978
200,40,0.2,1.0,0.0,10.0,0,True,True,,1.0,1561501211,642.6674869052256,10.0,Huber,0.2487643719845431
200,40,0.2,1.0,0.0,10.0,1,True,True,,1.0,186133073,797.5800550884267,10.000000000000005,OLS,6.341808382396787
200,40,0.2,1.0,0.0,10.0,1,True,True,,1.0,186133073,797.5800550884267,10.000000000000005,LAD,0.26095624282184815
200,40,0.2,1.0,0.0,10.0,1,True,True,,1.0,186133073,797.5800550884267,10.000000000000005,Huber,0.20652446634391852
200,40,0.2,1.0,0.0,10.0,2,True,True,,1.0,375877115,903.3482400913381,9.999999999999998,OLS,4.306602537319661
200,40,0.2,1.0,0.0,10.0,2,True,True,,1.0,375877115,903.3482400913381,9.999999999999998,LAD,0.807047463485722
200,40,0.2,1.0,0.0,10.0,2,True,True,,1.0,375877115,903.3482400913381,9.999999999999998,Huber,0.6859785182183833
200,40,0.2,1.0,0.0,10.0,3,True,True,,1.0,1475959144,486.7871465862624,10.000000000000002,OLS,2.28790993080708
200,40,0.2,1.0,0.0,10.0,3,True,True,,1.0,1475959144,486.7871465862624,10.000000000000002,LAD,0.42658733343653477
200,40,0.2,1.0,0.0,10.0,3,True,True,,1.0,1475959144,486.7871465862624,10.000000000000002,Huber,0.3707637191572429
200,40,0.2,1.0,0.0,10.0,4,True,True,,1.0,908986964,1047.2606821234035,10.0,OLS,7.017156820506694
200,40,0.2,1.0,0.0,10.0,4,True,True,,1.0,908986964,1047.2606821234035,10.0,LAD,0.2543428886597442
200,40,0.2,1.0,0.0,10.0,4,True,True,,1.0,908986964,1047.2606821234035,10.0,Huber,0.1771035428618341
